date,closing,adjusted,evolution,quantity,volume
14/09/2021,"1220,00","1220,00","0,00",1,1220
15/09/2021,"1220,00","1220,00","0,00",2819,3439180
16/09/2021,"1220,00","1220,00","0,00",1500,1830000
17/09/2021,"1220,00","1220,00","0,00",1,1220
20/09/2021,"1220,00","1220,00","0,00",1,1220
21/09/2021,"1220,00","1220,00","0,00",1,1220
22/09/2021,"1220,00","1220,00","0,00",1,1220
23/09/2021,"1220,00","1220,00","0,00",1,1220
24/09/2021,"1220,00","1220,00","0,00",1,1220
27/09/2021,"1220,00","1220,00","0,00",1,1220
28/09/2021,"1243,00","1243,00","1,89",21,26103
29/09/2021,"1234,00","1234,00","-0,72",1,1234
30/09/2021,"1234,00","1234,00","0,00",1,1234
01/10/2021,"1234,00","1234,00","0,00",1,1234
04/10/2021,"1234,00","1234,00","0,00",1,1234
05/10/2021,"1236,00","1236,00","0,16",1,1236
06/10/2021,"1250,00","1250,00","1,13",1,1250
07/10/2021,"1254,00","1254,00","0,32",1,1254
08/10/2021,"1260,00","1260,00","0,48",1,1260
11/10/2021,"1260,00","1260,00","0,00",1,1260
12/10/2021,"1260,00","1260,00","0,00",1,1260
13/10/2021,"1329,00","1329,00","5,48",85,110675
14/10/2021,"1335,00","1335,00","0,45",1,1335
15/10/2021,"1335,00","1335,00","0,00",1,1335
18/10/2021,"1362,00","1362,00","2,02",12,16317
21/10/2021,"1387,00","1387,00","1,84",1,1387
22/10/2021,"1361,00","1361,00","-1,87",4,5446
25/10/2021,"1361,00","1361,00","0,00",41,55801
26/10/2021,"1361,00","1361,00","0,00",9,12249
27/10/2021,"1365,00","1365,00","0,29",41,55965
28/10/2021,"1361,00","1361,00","-0,29",1,1361
29/10/2021,"1361,00","1361,00","0,00",1,1361
01/11/2021,"1361,00","1361,00","0,00",1,1361
02/11/2021,"1335,00","1335,00","-1,91",2,2670
03/11/2021,"1360,00","1360,00","1,87",1,1360
04/11/2021,"1360,00","1360,00","0,00",1,1360
05/11/2021,"1360,00","1360,00","0,00",1,1360
08/11/2021,"1360,00","1360,00","0,00",1,1360
09/11/2021,"1360,00","1360,00","0,00",1,1360
10/11/2021,"1360,00","1360,00","0,00",1,1360
11/11/2021,"1360,00","1360,00","0,00",1,1360
12/11/2021,"1300,00","1300,00","-4,41",3032,3942722
15/11/2021,"1304,00","1304,00","0,31",1,1304
16/11/2021,"1300,00","1300,00","-0,31",1,1300
